reporting_airline,airport,n,x,y
Delta Air Lines,TUS,1703,-1033490.7270596127,-1363482.3767388165
Delta Air Lines,TVC,668,1131251.581673923,72331.77434956355
Delta Air Lines,TYS,2134,1437259.8790258272,-883549.1515317184
Delta Air Lines,VPS,3609,1295144.3382723683,-1508625.2870949823
Delta Air Lines,XNA,1196,511251.36067402794,-951228.666706021
United Airlines,ABQ,1851,-603104.745800889,-1082686.4778323667
United Airlines,AGS,2,1668087.5351537075,-1113377.2711774665
United Airlines,ALB,1325,2093896.6988834653,90839.80353075745
United Airlines,ATL,10459,1438837.9937618312,-1129310.979486318
United Airlines,AUS,13646,225823.07315140465,-1638702.7618488022
United Airlines,AVL,638,1573260.496368321,-898595.7508630514
United Airlines,BDL,3555,2208123.028463688,33971.4893617478
United Airlines,BIL,1612,-660622.9347007086,124849.8707744144
United Airlines,BNA,4029,1193955.4135102862,-891176.9680870201
United Airlines,BOI,1376,-1296364.617988922,-29797.04410178459
United Airlines,BOS,24855,2320658.4485041024,126152.13380139158
United Airlines,BTR,4,852622.9227781038,-1560726.580584646
United Airlines,BTV,465,2081633.9139069868,291754.6637769176
United Airlines,BUF,973,1707245.286740146,-4371.266382491431
United Airlines,BUR,1400,-1679613.0736233827,-1016244.4677102008
United Airlines,BWI,6180,1980887.5167152977,-365563.636502196
United Airlines,BZN,2831,-861247.8507503188,146078.48264388298
United Airlines,CHS,1510,1853007.6958618572,-1124845.6869020823
United Airlines,CID,992,685025.5455007816,-311739.8633571619
United Airlines,CLE,10610,1498726.2792607923,-232627.15593650908
United Airlines,CLT,2592,1718765.594159813,-891788.5105128315
United Airlines,CMH,1902,1445821.7184349983,-405735.9494879742
United Airlines,CVG,1379,1316490.950820449,-539409.9479712159
United Airlines,DCA,8901,1959959.090984065,-409479.41835946374
United Airlines,DEN,121290,-398957.8437938119,-559911.2634607605
United Airlines,DFW,12741,278083.31647186854,-1338465.2155458855
United Airlines,DSM,2223,527073.5637794238,-365025.8008899143
United Airlines,DTW,3674,1359641.697254995,-170996.60408534826
United Airlines,EGE,589,-591915.5806713243,-570781.3448486088
United Airlines,EUG,2691,-1821248.2565430696,166143.80782859208
United Airlines,EWR,106456,2135095.905011877,-139210.669492847
United Airlines,FAT,270,-1740731.0681842598,-707419.3398996206
United Airlines,FCA,482,NA,NA
United Airlines,FLL,13159,1989416.8668556917,-1869685.279595282
United Airlines,FSD,1002,262391.66769403766,-152421.14243468866
United Airlines,GEG,1831,-1301359.421680582,434754.4516689109
United Airlines,GRR,1510,1172122.820083283,-131332.61154739256
United Airlines,GUC,44,-602974.1659594608,-693475.1482176824
United Airlines,HDN,314,-609905.1545202036,-475672.5575641322
United Airlines,IAD,45038,1922328.2460675351,-409030.73296909296
United Airlines,IAH,115381,452316.2866359444,-1652751.7266989667
United Airlines,ICT,1337,226443.7486944286,-813259.0022928995
United Airlines,IND,2544,1166867.010981104,-490339.71160834696
United Airlines,JAC,2252,-861423.9636510183,-97950.92206649132
United Airlines,JAX,1533,1752547.7524868262,-1421732.3716896002
United Airlines,LAS,24270,-1356682.4796960566,-868251.8410072095
United Airlines,LAX,47466,-1689593.4354288722,-1043456.7015018368
United Airlines,LGA,17135,2155684.513057,-122316.28523641168
United Airlines,MCI,4180,455074.4312943624,-619331.8913740775
United Airlines,MCO,23811,1829771.2698870576,-1638824.7811905802
United Airlines,MDT,614,1943193.8006085365,-257785.2270711698
United Airlines,MEM,1586,913341.2595404746,-1051685.0479322155
United Airlines,MFE,1650,178187.07418528103,-2082010.5655443657
United Airlines,MFR,1102,-1848901.1636070216,-30420.714220456124
United Airlines,MIA,9557,1981134.7610135972,-1902847.3929129404
United Airlines,MKE,1962,980769.513678976,-155418.02245427898
United Airlines,MSN,2377,862184.7227999782,-150397.75067967636
United Airlines,MSO,24,-1063417.7421266043,306790.99797850905
United Airlines,MSP,8598,533284.8020873081,9198.64416372486
United Airlines,MSY,10999,943779.1568939897,-1610813.662288556
United Airlines,MTJ,374,-686655.9669476862,-688739.660562748
United Airlines,MYR,614,1934759.0351566628,-1014954.7170777966
United Airlines,OKC,934,218240.3077465392,-1063902.9710996167
United Airlines,OMA,3589,343006.6325637459,-402442.5398354072
United Airlines,ONT,1276,-1614545.9907031525,-1046821.4894757676
United Airlines,ORD,144603,995411.7016669,-262546.73068444384
United Airlines,ORF,1859,2086513.5755781755,-600723.1638676772
United Airlines,PBI,4593,1982322.2831828392,-1802085.774986376
United Airlines,PDX,13831,-1729571.0771865274,310444.7043324455
United Airlines,PHL,8378,2075929.4181951769,-255080.32292677445
United Airlines,PHX,14594,-1115699.3885834513,-1205089.0053395256
United Airlines,PIT,4176,1653058.7188770992,-301571.10045485134
United Airlines,PSP,2108,-1520118.9583575455,-1091859.511799427
United Airlines,PWM,168,2323046.368311461,282201.85932739975
United Airlines,RDU,6492,1892329.2704660424,-772779.4700067013
United Airlines,RIC,1015,1974576.5147112373,-562009.3202353421
United Airlines,RNO,3111,-1678096.5663649472,-409666.019399356
United Airlines,ROC,1363,1784302.386940441,37810.92949343497
United Airlines,RSW,5409,1822839.8385921961,-1854169.26849232
United Airlines,SAN,19236,-1603701.5452417962,-1199220.2306533586
United Airlines,SAT,6271,149495.41162521293,-1713236.8214802423
United Airlines,SAV,1170,1763892.708823169,-1233594.0048643088
United Airlines,SBA,876,-1807082.5668300025,-960991.5699223796
United Airlines,SDF,22,1241535.522119959,-652005.0450171886
United Airlines,SEA,19328,-1650755.3926562539,505066.6320739882
United Airlines,SFO,107681,-1945640.7538789264,-556902.5127197708
United Airlines,SJC,3763,-1914820.4720456952,-595055.2286396603
United Airlines,SLC,4253,-1004609.4621734885,-395049.06406783813
United Airlines,SMF,6176,-1850472.0747063856,-458086.04301328777
United Airlines,SNA,12844,-1646508.559850192,-1083248.598617272
United Airlines,SRQ,633,1728853.7880800036,-1776894.0369085146
United Airlines,STL,883,834066.6669227502,-646449.0468188728
United Airlines,SYR,330,1905272.1686460353,72673.25213846966
