airline,airport,Arrival,Departure,yearly_passengers,hub_type
Delta,ORD,2.423178556602497,2.567996789875605,31992302,Large
Delta,ORF,2.957401552225433,3.229200923853268,1709002,Small
Delta,PBI,2.033756379440156,2.37303463613869,3053722,Medium
Delta,PDX,2.6216031040246115,2.740806121229607,8685344,Large
Delta,PHF,3.1971008098897413,3.6486434947582067,198169,Nonhub
Delta,PHL,2.3732695663201935,3.020604839651007,12363030,Large
Delta,PHX,2.0730156239525375,2.830319813364462,20146404,Large
Delta,PIT,3.0039269948857332,2.9180637275910493,4246005,Medium
Delta,PNS,2.9931001745712824,3.316001935529783,850292,Small
Delta,PSC,3.0425654935297652,3.333338908096464,377381,Small
Delta,PSP,2.6719592676586585,3.1009871809088922,871865,Small
Delta,PVD,2.7823924833311016,3.0139459942302693,1887188,Medium
Delta,PWM,3.172020839548609,3.0374991624431837,925958,Small
Delta,RAP,3.0320054914202252,3.498542879781747,287615,Nonhub
Delta,RDU,2.754272737013959,2.856865494362511,5582857,Medium
Delta,RIC,3.006910423279277,3.0470761775977966,1838806,Medium
Delta,RNO,3.070972984680716,3.062049471395504,1947053,Medium
Delta,ROA,2.876935217792403,3.402845308620922,309911,Nonhub
Delta,ROC,2.7988955773971793,2.927986236090448,1200800,Small
Delta,RSW,2.2378134275535286,2.6682400586905533,4209004,Medium
Delta,SAN,2.2631497055878564,3.075457433609685,10577561,Large
Delta,SAT,2.571352123939129,3.011588818532673,4298244,Medium
Delta,SAV,2.838950383343892,2.743301744510629,1194295,Small
Delta,SBN,2.7606729491542286,3.153022513504103,309196,Nonhub
Delta,SDF,3.0139673749510987,3.0825336111515784,1716039,Small
Delta,SEA,2.0974174892665403,2.4327544273130393,17885508,Large
Delta,SFO,1.7539578899144375,2.857013869168423,19436599,Large
Delta,SGF,2.5158474465757528,3.497804298785338,484183,Small
Delta,SHV,3.38609718276779,3.426630815104058,272296,Nonhub
Delta,SJC,2.7667566881571783,2.954608660281774,5534751,Medium
Delta,SLC,2.8357261948902357,3.0653720946364373,11120731,Large
Delta,SMF,2.9317393363089876,2.876072934984611,5206732,Medium
Delta,SNA,2.7458960743619603,3.1063483731057633,4997816,Medium
Delta,SRQ,2.8879122683449077,3.2369993407283735,564395,Small
Delta,STL,2.4226723812754036,2.8041061224418984,7318250,Large
Delta,SYR,2.928613799562286,2.9222691748674734,1009733,Small
Delta,TLH,2.9389914580903764,3.207010807675684,355451,Nonhub
Delta,TPA,2.1286818203255486,2.345759416224342,9104125,Large
Delta,TRI,3.352957778674249,3.4081038583591026,195251,Nonhub
Delta,TUL,2.89093682512891,3.4803958484949282,1408059,Small
Delta,TUS,2.4832129542972456,3.129509827585384,1685121,Small
Delta,TVC,3.098490328668306,3.26545197703189,234748,Nonhub
