year,airline,airport,type,block,n,airline_airport
1,UA,SFO,arr,1970-01-01T13:11:00Z,-963,UA/ SFO
1,UA,SFO,arr,1970-01-01T13:21:00Z,-727,UA/ SFO
1,UA,SFO,arr,1970-01-01T13:31:00Z,-514,UA/ SFO
1,UA,SFO,arr,1970-01-01T13:41:00Z,-481,UA/ SFO
1,UA,SFO,arr,1970-01-01T13:51:00Z,-471,UA/ SFO
1,UA,SFO,arr,1970-01-01T14:01:00Z,-593,UA/ SFO
1,UA,SFO,arr,1970-01-01T14:11:00Z,-536,UA/ SFO
1,UA,SFO,arr,1970-01-01T14:21:00Z,-656,UA/ SFO
1,UA,SFO,arr,1970-01-01T14:31:00Z,-925,UA/ SFO
1,UA,SFO,arr,1970-01-01T14:41:00Z,-781,UA/ SFO
1,UA,SFO,arr,1970-01-01T14:51:00Z,-533,UA/ SFO
1,UA,SFO,arr,1970-01-01T15:01:00Z,-500,UA/ SFO
1,UA,SFO,arr,1970-01-01T15:11:00Z,-764,UA/ SFO
1,UA,SFO,arr,1970-01-01T15:21:00Z,-929,UA/ SFO
1,UA,SFO,arr,1970-01-01T15:31:00Z,-933,UA/ SFO
1,UA,SFO,arr,1970-01-01T15:41:00Z,-929,UA/ SFO
1,UA,SFO,arr,1970-01-01T15:51:00Z,-820,UA/ SFO
1,UA,SFO,arr,1970-01-01T16:01:00Z,-708,UA/ SFO
1,UA,SFO,arr,1970-01-01T16:11:00Z,-641,UA/ SFO
1,UA,SFO,arr,1970-01-01T16:21:00Z,-514,UA/ SFO
1,UA,SFO,arr,1970-01-01T16:31:00Z,-405,UA/ SFO
1,UA,SFO,arr,1970-01-01T16:41:00Z,-390,UA/ SFO
1,UA,SFO,arr,1970-01-01T16:51:00Z,-475,UA/ SFO
1,UA,SFO,arr,1970-01-01T17:01:00Z,-527,UA/ SFO
1,UA,SFO,arr,1970-01-01T17:11:00Z,-585,UA/ SFO
1,UA,SFO,arr,1970-01-01T17:21:00Z,-583,UA/ SFO
