airline,airport,type,block,n,airline_airport,year
UA,ORD,arr,1970-01-01T03:51:00Z,-4,UA/ ORD,1995
UA,ORD,arr,1970-01-01T04:01:00Z,-3,UA/ ORD,1995
UA,ORD,arr,1970-01-01T04:11:00Z,-16,UA/ ORD,1995
UA,ORD,arr,1970-01-01T04:21:00Z,-83,UA/ ORD,1995
UA,ORD,arr,1970-01-01T04:31:00Z,-224,UA/ ORD,1995
UA,ORD,arr,1970-01-01T04:41:00Z,-436,UA/ ORD,1995
UA,ORD,arr,1970-01-01T04:51:00Z,-752,UA/ ORD,1995
UA,ORD,arr,1970-01-01T05:01:00Z,-1102,UA/ ORD,1995
UA,ORD,arr,1970-01-01T05:11:00Z,-805,UA/ ORD,1995
UA,ORD,arr,1970-01-01T05:21:00Z,-355,UA/ ORD,1995
UA,ORD,arr,1970-01-01T05:31:00Z,-194,UA/ ORD,1995
UA,ORD,arr,1970-01-01T05:41:00Z,-100,UA/ ORD,1995
UA,ORD,arr,1970-01-01T05:51:00Z,-47,UA/ ORD,1995
UA,ORD,arr,1970-01-01T06:01:00Z,-38,UA/ ORD,1995
UA,ORD,arr,1970-01-01T06:11:00Z,-26,UA/ ORD,1995
UA,ORD,arr,1970-01-01T06:21:00Z,-19,UA/ ORD,1995
UA,ORD,arr,1970-01-01T06:31:00Z,-75,UA/ ORD,1995
UA,ORD,arr,1970-01-01T06:41:00Z,-326,UA/ ORD,1995
UA,ORD,arr,1970-01-01T06:51:00Z,-1346,UA/ ORD,1995
UA,ORD,arr,1970-01-01T07:01:00Z,-2245,UA/ ORD,1995
UA,ORD,arr,1970-01-01T07:11:00Z,-2362,UA/ ORD,1995
UA,ORD,arr,1970-01-01T07:21:00Z,-1328,UA/ ORD,1995
UA,ORD,arr,1970-01-01T07:31:00Z,-773,UA/ ORD,1995
UA,ORD,arr,1970-01-01T07:41:00Z,-709,UA/ ORD,1995
UA,ORD,arr,1970-01-01T07:51:00Z,-630,UA/ ORD,1995
UA,ORD,arr,1970-01-01T08:01:00Z,-917,UA/ ORD,1995
UA,ORD,arr,1970-01-01T08:11:00Z,-1303,UA/ ORD,1995
UA,ORD,arr,1970-01-01T08:21:00Z,-1810,UA/ ORD,1995
UA,ORD,arr,1970-01-01T08:31:00Z,-2654,UA/ ORD,1995
UA,ORD,arr,1970-01-01T08:41:00Z,-3073,UA/ ORD,1995
UA,ORD,arr,1970-01-01T08:51:00Z,-2815,UA/ ORD,1995
