reporting_airline,id,type,airport,x,y
Southwest Airlines,133,dest,OAK,-1929816.947397706,-549399.1884917811
Southwest Airlines,134,origin,BOI,-1296364.617988922,-29797.04410178459
Southwest Airlines,134,dest,PHX,-1115699.3885834513,-1205089.0053395256
Southwest Airlines,135,origin,BOI,-1296364.617988922,-29797.04410178459
Southwest Airlines,135,dest,SAN,-1603701.5452417962,-1199220.2306533586
Southwest Airlines,136,origin,BOI,-1296364.617988922,-29797.04410178459
Southwest Airlines,136,dest,SMF,-1850472.0747063856,-458086.04301328777
Southwest Airlines,137,origin,BOS,2320658.4485041024,126152.13380139158
Southwest Airlines,137,dest,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,138,origin,BOS,2320658.4485041024,126152.13380139158
Southwest Airlines,138,dest,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,139,origin,BOS,2320658.4485041024,126152.13380139158
Southwest Airlines,139,dest,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,140,origin,BOS,2320658.4485041024,126152.13380139158
Southwest Airlines,140,dest,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,141,origin,BOS,2320658.4485041024,126152.13380139158
Southwest Airlines,141,dest,CMH,1445821.7184349983,-405735.9494879742
Southwest Airlines,142,origin,BOS,2320658.4485041024,126152.13380139158
Southwest Airlines,142,dest,DAL,295794.1446696455,-1343507.98461109
Southwest Airlines,143,origin,BOS,2320658.4485041024,126152.13380139158
Southwest Airlines,143,dest,DEN,-398957.8437938119,-559911.2634607605
Southwest Airlines,144,origin,BOS,2320658.4485041024,126152.13380139158
Southwest Airlines,144,dest,HOU,460280.73628586193,-1689712.830489488
Southwest Airlines,145,origin,BOS,2320658.4485041024,126152.13380139158
Southwest Airlines,145,dest,IND,1166867.010981104,-490339.71160834696
Southwest Airlines,146,origin,BOS,2320658.4485041024,126152.13380139158
Southwest Airlines,146,dest,MCI,455074.4312943624,-619331.8913740775
Southwest Airlines,147,origin,BOS,2320658.4485041024,126152.13380139158
Southwest Airlines,147,dest,MDW,1011185.7905791268,-281702.30650750065
Southwest Airlines,148,origin,BOS,2320658.4485041024,126152.13380139158
Southwest Airlines,148,dest,MKE,980769.513678976,-155418.02245427898
Southwest Airlines,149,origin,BOS,2320658.4485041024,126152.13380139158
Southwest Airlines,149,dest,STL,834066.6669227502,-646449.0468188728
Southwest Airlines,150,origin,BUF,1707245.286740146,-4371.266382491431
Southwest Airlines,150,dest,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,151,origin,BUF,1707245.286740146,-4371.266382491431
Southwest Airlines,151,dest,FLL,1989416.8668556917,-1869685.279595282
Southwest Airlines,152,origin,BUF,1707245.286740146,-4371.266382491431
Southwest Airlines,152,dest,LAS,-1356682.4796960566,-868251.8410072095
Southwest Airlines,153,origin,BUF,1707245.286740146,-4371.266382491431
Southwest Airlines,153,dest,MCO,1829771.2698870576,-1638824.7811905802
Southwest Airlines,154,origin,BUF,1707245.286740146,-4371.266382491431
Southwest Airlines,154,dest,MDW,1011185.7905791268,-281702.30650750065
Southwest Airlines,155,origin,BUF,1707245.286740146,-4371.266382491431
Southwest Airlines,155,dest,PHX,-1115699.3885834513,-1205089.0053395256
Southwest Airlines,156,origin,BUF,1707245.286740146,-4371.266382491431
Southwest Airlines,156,dest,TPA,1720329.790563932,-1713285.848456208
Southwest Airlines,157,origin,BUR,-1679613.0736233827,-1016244.4677102008
Southwest Airlines,157,dest,DAL,295794.1446696455,-1343507.98461109
Southwest Airlines,158,origin,BUR,-1679613.0736233827,-1016244.4677102008
Southwest Airlines,158,dest,DEN,-398957.8437938119,-559911.2634607605
Southwest Airlines,159,origin,BUR,-1679613.0736233827,-1016244.4677102008
Southwest Airlines,159,dest,LAS,-1356682.4796960566,-868251.8410072095
Southwest Airlines,160,origin,BUR,-1679613.0736233827,-1016244.4677102008
Southwest Airlines,160,dest,OAK,-1929816.947397706,-549399.1884917811
Southwest Airlines,161,origin,BUR,-1679613.0736233827,-1016244.4677102008
Southwest Airlines,161,dest,PDX,-1729571.0771865274,310444.7043324455
Southwest Airlines,162,origin,BUR,-1679613.0736233827,-1016244.4677102008
Southwest Airlines,162,dest,PHX,-1115699.3885834513,-1205089.0053395256
