year,airline,airport,type,block,n,airline_airport
1,AA,DFW,arr,1970-01-01T16:31:00Z,-2488,AA/ DFW
1,AA,DFW,arr,1970-01-01T16:41:00Z,-1357,AA/ DFW
1,AA,DFW,arr,1970-01-01T16:51:00Z,-598,AA/ DFW
1,AA,DFW,arr,1970-01-01T17:01:00Z,-609,AA/ DFW
1,AA,DFW,arr,1970-01-01T17:11:00Z,-980,AA/ DFW
1,AA,DFW,arr,1970-01-01T17:21:00Z,-2074,AA/ DFW
1,AA,DFW,arr,1970-01-01T17:31:00Z,-3148,AA/ DFW
1,AA,DFW,arr,1970-01-01T17:41:00Z,-3885,AA/ DFW
1,AA,DFW,arr,1970-01-01T17:51:00Z,-3399,AA/ DFW
1,AA,DFW,arr,1970-01-01T18:01:00Z,-1782,AA/ DFW
1,AA,DFW,arr,1970-01-01T18:11:00Z,-1020,AA/ DFW
1,AA,DFW,arr,1970-01-01T18:21:00Z,-947,AA/ DFW
1,AA,DFW,arr,1970-01-01T18:31:00Z,-1082,AA/ DFW
1,AA,DFW,arr,1970-01-01T18:41:00Z,-1036,AA/ DFW
1,AA,DFW,arr,1970-01-01T18:51:00Z,-1715,AA/ DFW
1,AA,DFW,arr,1970-01-01T19:01:00Z,-2876,AA/ DFW
1,AA,DFW,arr,1970-01-01T19:11:00Z,-3595,AA/ DFW
1,AA,DFW,arr,1970-01-01T19:21:00Z,-3417,AA/ DFW
1,AA,DFW,arr,1970-01-01T19:31:00Z,-2334,AA/ DFW
1,AA,DFW,arr,1970-01-01T19:41:00Z,-1316,AA/ DFW
1,AA,DFW,arr,1970-01-01T19:51:00Z,-864,AA/ DFW
1,AA,DFW,arr,1970-01-01T20:01:00Z,-797,AA/ DFW
1,AA,DFW,arr,1970-01-01T20:11:00Z,-1079,AA/ DFW
1,AA,DFW,arr,1970-01-01T20:21:00Z,-2013,AA/ DFW
1,AA,DFW,arr,1970-01-01T20:31:00Z,-2778,AA/ DFW
1,AA,DFW,arr,1970-01-01T20:41:00Z,-3264,AA/ DFW
1,AA,DFW,arr,1970-01-01T20:51:00Z,-3249,AA/ DFW
1,AA,DFW,arr,1970-01-01T21:01:00Z,-3007,AA/ DFW
1,AA,DFW,arr,1970-01-01T21:11:00Z,-2425,AA/ DFW
1,AA,DFW,arr,1970-01-01T21:21:00Z,-1477,AA/ DFW
1,AA,DFW,arr,1970-01-01T21:31:00Z,-821,AA/ DFW
1,AA,DFW,arr,1970-01-01T21:41:00Z,-569,AA/ DFW
