"airline","airport","arr","dep","yearly_passengers","hub_type"
"DL","ABE",2.61414911541325,2.81836448150871,329809,"Nonhub"
"DL","ABQ",1.83628416174026,2.64221323096873,2479239,"Medium"
"DL","AGS",2.15600719161266,2.31370586664176,282248,"Nonhub"
"DL","ALB",2.1023107033949,2.60803234513456,1397839,"Small"
"DL","ANC",1.84602364231293,2.42005181005838,2501286,"Medium"
"DL","ATL",0.766040462834864,0.934517087052334,44817870,"Large"
"DL","ATW",2.37990215023882,2.80265404703006,280282,"Nonhub"
"DL","AUS",1.40882984595816,1.647673573957,6779552,"Medium"
"DL","AVL",2.43200409505847,2.42258443889859,476881,"Small"
"DL","AVP",2.51604927299393,2.92021387949411,257524,"Nonhub"
"DL","BDL",1.41609068964303,1.7525450920288,3097000,"Medium"
"DL","BGR",2.91468021457053,3.13328827693601,266679,"Nonhub"
"DL","BHM",1.31977030073597,1.67844658333828,1382980,"Small"
"DL","BIL",2.29181768400197,2.7716258811726,420262,"Small"
"DL","BIS",2.60135060082649,2.72362284050234,274528,"Nonhub"
"DL","BMI",3.13149298392736,3.1664867526105,161266,"Nonhub"
"DL","BNA",1.17966368301753,1.52629973358674,7035239,"Medium"
"DL","BOI",2.11376405354487,2.57429988826404,1801509,"Small"
"DL","BOS",0.730404086956905,1.35277279192107,15481957,"Large"
"DL","BTR",2.55956245759815,2.4879348104446,379514,"Small"
"DL","BTV",3.03612981760422,2.84555508391067,576047,"Small"
"DL","BUF",2.13174225910707,2.15148904819607,2356494,"Medium"
"DL","BWI",1.25291078970895,1.42636326337395,12684344,"Large"
"DL","BZN",2.09661252964321,2.62387443479778,598702,"Small"
"DL","CAE",1.73761543556142,2.10340178456872,534855,"Small"
"DL","CAK",2.03160136737378,2.47931548234735,614448,"Small"
"DL","CHA",2.41183852374211,2.45931233969781,482116,"Small"
"DL","CHO",2.22144902996248,3.08521765327858,332669,"Nonhub"
"DL","CHS",1.36269904447818,1.54545168058005,1949384,"Medium"
"DL","CID",2.82969126120292,3.17151233938709,575392,"Small"
"DL","CLE",1.52164861127464,1.73453672312773,4401569,"Medium"
"DL","CLT",1.18348598642072,1.66393586727969,20785356,"Large"
"DL","CMH",1.33843987721012,1.91336990927681,3704541,"Medium"
"DL","COS",2.41138924935192,2.86295888404369,852204,"Small"
"DL","CRW",2.84136267841105,2.57042382046812,203065,"Nonhub"
"DL","CVG",1.16979501418643,1.76989808728067,3680221,"Medium"
"DL","DAB",2.39263772027081,2.48458731009493,344758,"Nonhub"
"DL","DAL",2.29308571555882,2.26999003172002,7948408,"Large"
"DL","DAY",2.3534179893929,2.49006965003291,933907,"Small"
"DL","DCA",1.20002536786861,1.4802051253392,11390840,"Large"
"DL","DEN",1.2919958030769,1.39300428304591,28903645,"Large"
"DL","DFW",1.2547482040838,1.58449133441123,27862777,"Large"
"DL","DSM",2.40313256885556,2.64758755138053,1274917,"Small"
"DL","DTW",1.41426574462438,1.86329069203688,15375391,"Large"
"DL","ECP",2.22588320679308,2.17821679815299,464013,"Small"
"DL","EGE",2.87726021326935,2.98959675403815,155172,"Nonhub"
"DL","ELP",2.2909649010696,2.65642254924858,1466345,"Small"
"DL","EVV",2.58647317439012,3.13997944715087,212335,"Nonhub"
"DL","EWR",0.967004453150634,1.51768642420331,15327436,"Large"
"DL","EYW",2.45826680563116,2.41895983324572,377068,"Small"
"DL","FAI",2.33936528905762,2.6276960571978,570398,"Small"
"DL","FAR",2.56691964935694,2.76268199246059,404546,"Small"
"DL","FAY",2.41837973347748,2.81252304781406,238969,"Nonhub"
"DL","FCA",2.73008468800084,2.54538484886229,270091,"Nonhub"
"DL","FLL",0.954932776301074,0.979641601837061,12419785,"Large"
"DL","FNT",2.34559182013468,2.74428539478868,389484,"Small"
"DL","FSD",2.16211239506252,2.52380748038493,545134,"Small"
"DL","GEG",2.15280566381197,2.29093790983755,1700983,"Small"
"DL","GNV",2.72136091213845,2.36451532020248,215774,"Nonhub"
"DL","GPT",2.52568833756437,2.44555485188046,320129,"Nonhub"
"DL","GRB",1.98432262457538,2.81044156744592,282847,"Nonhub"
"DL","GRR",1.83618043648417,1.75804919411905,1405896,"Small"
"DL","GSO",1.77353238530861,1.99689026144251,881109,"Small"
"DL","GSP",1.62442389497317,2.15005882401681,1035938,"Small"
"DL","GTF",2.82977965121237,3.13487517486062,171596,"Nonhub"
"DL","HDN",2.63535631703139,2.8625500441656,94484,"Nonhub"
"DL","HNL",1.33381824036037,1.97332762894606,7424983,"Medium"
"DL","HOU",1.80707799665216,2.0906345608077,6337812,"Medium"
"DL","HPN",2.80922720864559,2.69980748535868,757957,"Small"
"DL","HSV",1.78703434034278,2.10757292433079,525772,"Small"
"DL","IAD",1.65928998578963,1.89863270001335,7371602,"Medium"
"DL","IAH",1.49656769775128,2.10930934520758,14625107,"Large"
"DL","ICT",2.370352936838,2.68901087319812,809842,"Small"
"DL","ILM",2.80050170815815,3.10156728984288,418892,"Small"
"DL","IND",1.11746299458696,1.6417870408393,4367415,"Medium"
"DL","JAC",2.51681139740201,2.69256196032033,339024,"Nonhub"
"DL","JAN",1.46022936516257,2.12250432394791,461213,"Small"
"DL","JAX",0.982742181886052,1.0498454556431,2703132,"Medium"
"DL","JFK",0.808738137647133,1.55378269552797,13676143,"Large"
"DL","JNU",2.95032225592953,3.15819945920575,431174,"Small"
"DL","KOA",2.08441676587406,2.44208456343065,1681142,"Small"
"DL","LAS",1.01462468124283,1.21576375677963,21754529,"Large"
"DL","LAX",0.659515115353774,0.64915641136411,29409829,"Large"
"DL","LEX",2.13489215847222,2.4489188205017,636052,"Small"
"DL","LFT",2.54158632375372,3.15990359093158,201623,"Nonhub"
"DL","LGA",0.770269625936231,0.809719622117057,13589163,"Large"
"DL","LIH",2.31785825282804,2.55496351466506,1502050,"Small"
"DL","LIT",1.73458591803556,1.92924096784497,987690,"Small"
"DL","MCI",1.51049954188566,1.84662609549597,5775386,"Medium"
